datetime,iso_year,iso_week,total_population,total_cases_formula,inc_per_10k,temp_mean,temp_max,temp_min,rh_mean,rh_max,rh_min
2013-04-01,2013,14,4953219,13032.0,26.31016314844953,-2.2916666666666665,3.9,-10.8,81.38095238095238,96,50
2013-04-08,2013,15,4953219,20361.0,41.10660158575666,0.5017857142857143,7.2,-9.6,82.66071428571429,99,52
2013-04-15,2013,16,4953219,13431.0,27.11569991151209,5.994642857142857,14.0,-0.1,73.125,97,40
2013-04-22,2013,17,4953219,12945.0,26.134519794097532,5.396428571428571,12.5,-2.3,73.32142857142857,99,39
2013-04-29,2013,18,4953219,5093.0,10.282202341547992,7.364285714285715,16.5,-1.9,64.52380952380952,97,30
2013-05-06,2013,19,4953219,3802.0,7.675816474094927,12.069642857142858,20.8,2.2,74.38095238095238,100,36
2013-05-13,2013,20,4953219,5811.0,11.731764737234512,15.632142857142856,25.3,7.2,78.05357142857143,100,41
2013-05-20,2013,21,4953219,1361.0,2.747708106586848,14.425,19.2,10.5,74.98809523809524,100,50
2013-05-27,2013,22,4953219,0.0,0.0,18.367857142857144,25.4,12.5,69.43452380952381,98,40
2013-06-03,2013,23,4953219,0.0,0.0,18.85654761904762,26.6,12.3,67.23809523809524,99,31
2013-06-10,2013,24,4953219,270.0,0.5451000652303077,15.880952380952381,22.2,10.2,73.76190476190476,100,43
2013-06-17,2013,25,4953219,0.0,0.0,17.28988095238095,25.6,10.1,66.54166666666667,97,39
2013-06-24,2013,26,4953219,0.0,0.0,22.12202380952381,30.4,15.3,75.78571428571429,100,41
2013-07-01,2013,27,4953219,0.0,0.0,19.53690476190476,26.1,14.2,78.05952380952381,100,43
2013-07-08,2013,28,4953219,0.0,0.0,18.98035714285714,25.3,12.2,65.10714285714286,95,34
2013-07-15,2013,29,4953219,0.0,0.0,16.361904761904764,24.2,11.5,71.60714285714286,98,40
2013-07-22,2013,30,4953219,0.0,0.0,17.00297619047619,21.9,12.7,82.7202380952381,98,59
2013-07-29,2013,31,4953219,0.0,0.0,18.805357142857144,25.8,12.6,78.5952380952381,100,47
2013-08-05,2013,32,4953219,0.0,0.0,20.58154761904762,28.0,15.1,77.7202380952381,100,41
2013-08-12,2013,33,4953219,0.0,0.0,16.52261904761905,23.3,12.9,78.83333333333333,99,51
2013-08-19,2013,34,4953219,0.0,0.0,16.385714285714286,23.4,11.1,77.55952380952381,100,51
2013-08-26,2013,35,4953219,0.0,0.0,15.05297619047619,20.4,9.7,76.04166666666667,99,49
2013-09-02,2013,36,4953219,0.0,0.0,13.614285714285714,19.8,6.4,79.76190476190476,100,51
2013-09-09,2013,37,4953219,587.0,1.1850879195932988,13.017261904761906,18.4,7.0,79.75,99,52
2013-09-16,2013,38,4953219,0.0,0.0,12.932142857142857,17.8,8.3,84.35714285714286,99,59
2013-09-23,2013,39,4953219,0.0,0.0,6.494047619047619,12.2,3.0,85.39880952380952,99,62
2013-09-30,2013,40,4953219,0.0,0.0,5.97797619047619,11.3,1.3,81.48214285714286,99,56
2013-10-07,2013,41,4953219,0.0,0.0,9.54107142857143,13.3,3.0,89.10714285714286,100,57
2013-10-14,2013,42,4953219,0.0,0.0,2.9309523809523808,8.7,-2.3,84.35714285714286,99,56
2013-10-21,2013,43,4953219,0.0,0.0,4.7386904761904765,11.2,-3.6,90.89285714285714,100,65
2013-10-28,2013,44,4953219,0.0,0.0,7.397619047619047,11.2,3.8,91.94642857142857,100,68
2013-11-04,2013,45,4953219,0.0,0.0,5.3672619047619055,7.7,1.6,92.69642857142857,100,73
2013-11-11,2013,46,4953219,587.0,1.1850879195932988,4.276190476190476,7.9,-1.1,88.78571428571429,99,50
2013-11-18,2013,47,4953219,0.0,0.0,3.5714285714285716,5.8,-1.6,88.99404761904762,100,53
2013-11-25,2013,48,4953219,0.0,0.0,-1.311904761904762,4.0,-6.5,84.96428571428571,98,65
2013-12-02,2013,49,4953219,663.0,1.338523493509978,-2.4154761904761903,3.1,-8.3,89.42857142857143,98,64
2013-12-09,2013,50,4953219,2274.0,4.590953882717481,-3.1392857142857142,5.6,-12.2,83.47619047619048,99,61
2013-12-16,2013,51,4953219,0.0,0.0,1.2339285714285715,5.2,-3.1,92.05357142857143,99,77
2013-12-23,2013,52,4953219,418.0,0.8438956565417357,2.9767857142857146,5.0,1.3,88.81547619047619,99,68
2013-12-30,2014,1,5028000,837.0,1.6646778042959427,0.6982142857142857,3.8,-2.6,88.86309523809524,99,77
2014-01-06,2014,2,5028000,443.0,0.8810660302307081,-0.030952380952380953,4.4,-7.0,93.04761904761905,100,72
2014-01-13,2014,3,5028000,1599.0,3.1801909307875897,-10.39345238095238,-7.4,-14.5,86.01190476190476,92,76
2014-01-20,2014,4,5028000,8468.0,16.841686555290373,-11.52202380952381,-6.8,-16.5,83.91071428571429,93,69
2014-01-27,2014,5,5028000,2450.0,4.872712808273668,-13.954761904761906,-4.9,-23.9,71.38095238095238,92,51
2014-02-03,2014,6,5028000,5482.0,10.902943516308673,-4.041666666666667,1.6,-15.2,90.4047619047619,97,73
2014-02-10,2014,7,5028000,9562.0,19.01750198886237,0.1505952380952381,1.7,-2.5,94.66071428571429,99,83
2014-02-17,2014,8,5028000,10393.0,20.67024661893397,-0.5636904761904762,3.3,-7.9,90.46428571428571,99,71
2014-02-24,2014,9,5028000,12075.0,24.015513126491648,-0.7339285714285714,5.2,-6.6,80.9047619047619,93,63
2014-03-03,2014,10,5028000,9853.0,19.59626093874304,1.7886904761904763,6.2,-1.8,81.45238095238095,97,58
2014-03-10,2014,11,5028000,9042.0,17.98329355608592,2.306547619047619,8.5,-4.6,78.60714285714286,99,49
2014-03-17,2014,12,5028000,6681.0,13.287589498806682,-2.270238095238095,9.3,-14.2,81.96428571428571,99,59
2014-03-24,2014,13,5028000,9517.0,18.928003182179797,1.901190476190476,8.2,-4.3,70.58333333333333,98,44
2014-03-31,2014,14,5028000,7720.0,15.354017501988864,0.21071428571428572,6.3,-4.9,70.23809523809524,100,36
2014-04-07,2014,15,5028000,6954.0,13.83054892601432,2.388095238095238,11.2,-4.8,63.17857142857143,100,32
2014-04-14,2014,16,5028000,10721.0,21.322593476531424,6.819047619047619,15.0,0.2,67.97619047619048,98,34
2014-04-21,2014,17,5028000,28789.0,57.25735879077168,8.128571428571428,19.1,-1.7,58.375,93,30
2014-04-28,2014,18,5028000,6215.0,12.360779634049324,6.7839285714285715,16.2,-0.0,66.94642857142857,99,34
2014-05-05,2014,19,5028000,5514.0,10.96658711217184,7.836309523809524,18.9,-1.6,75.79166666666667,99,32
2014-05-12,2014,20,5028000,5810.0,11.555290373906123,11.235714285714286,23.9,4.7,75.39880952380952,100,41
2014-05-19,2014,21,5028000,6329.0,12.587509944311853,20.75,30.1,11.2,67.33333333333333,94,35
2014-05-26,2014,22,5028000,1525.0,3.033015115354017,12.772023809523809,21.7,7.2,86.57738095238095,100,57
2014-06-02,2014,23,5028000,498.0,0.9904534606205252,18.90892857142857,27.7,11.2,76.13095238095238,99,37
2014-06-09,2014,24,5028000,402.0,0.7995226730310262,14.69702380952381,20.2,8.6,74.63690476190476,100,47
2014-06-16,2014,25,5028000,626.0,1.24502784407319,10.92797619047619,16.7,4.7,76.33928571428571,99,48
2014-06-23,2014,26,5028000,427.0,0.8492442322991249,11.717857142857142,18.0,6.5,74.38095238095238,99,44
2014-06-30,2014,27,5028000,0.0,0.0,16.051190476190477,23.0,10.5,80.94642857142857,99,47
2014-07-07,2014,28,5028000,0.0,0.0,18.69404761904762,27.7,11.2,64.66666666666667,98,38
2014-07-14,2014,29,5028000,0.0,0.0,20.94047619047619,27.2,13.5,70.01785714285714,99,38
